B1;B2;D01;-2.331086136
B1;B2;D02;2.32849882
B1;B2;D03;-2.30118852
B1;B2;D04;2.304124408
B1;B2;D05;-2.283867679
B1;B2;D06;2.292359535
B1;B2;D07;-2.28038921
B1;B2;D08;2.294547795
B1;B2;D09;-2.289196432
B1;B2;D10;2.310278236
B1;B2;D11;-2.309670779
B1;B2;D12;2.340857352
B1;B3;D01;-1.805418752
B1;B3;D02;1.80407777
B1;B3;D03;-1.781663235
B1;B3;D04;1.785665306
B1;B3;D05;-1.768769712
B1;B3;D06;1.776719592
B1;B3;D07;-1.766947006
B1;B3;D08;1.778465839
B1;B3;D09;-1.772133626
B1;B3;D10;1.790706064
B1;B3;D11;-1.78911121
B1;B3;D12;1.813950632
B1;B4;D01;-1.323245674
B1;B4;D02;1.319045185
B1;B4;D03;-1.306177785
B1;B4;D04;1.305159209
B1;B4;D05;-1.295982574
B1;B4;D06;1.298361041
B1;B4;D07;-1.294998665
B1;B4;D08;1.299815301
B1;B4;D09;-1.299299506
B1;B4;D10;1.308507449
B1;B4;D11;-1.310145715
B1;B4;D12;1.32657375
B1;B5;D01;-1.05919647
B1;B5;D02;1.05624653
B1;B5;D03;-1.045446777
B1;B5;D04;1.045239203
B1;B5;D05;-1.037158524
B1;B5;D06;1.039431159
B1;B5;D07;-1.036533877
B1;B5;D08;1.040946961
B1;B5;D09;-1.040151527
B1;B5;D10;1.047571287
B1;B5;D11;-1.049758762
B1;B5;D12;1.063115209
B1;B6;D01;-0.798397101
B1;B6;D02;0.789964761
B1;B6;D03;-0.788010368
B1;B6;D04;0.781290445
B1;B6;D05;-0.781192452
B1;B6;D06;0.777960796
B1;B6;D07;-0.781944659
B1;B6;D08;0.779131365
B1;B6;D09;-0.78477004
B1;B6;D10;0.784351239
B1;B6;D11;-0.791313065
B1;B6;D12;0.794160306
B1;B7;D01;-0.53450368
B1;B7;D02;0.526287423
B1;B7;D03;-0.528184298
B1;B7;D04;0.520183991
B1;B7;D05;-0.523263277
B1;B7;D06;0.517570326
B1;B7;D07;-0.523037903
B1;B7;D08;0.518809058
B1;B7;D09;-0.525276928
B1;B7;D10;0.522098309
B1;B7;D11;-0.529499601
B1;B7;D12;0.529860493
B1;B8;D01;-2.068256375
B1;B8;D02;2.066664832
B1;B8;D03;-2.041725783
B1;B8;D04;2.045091313
B1;B8;D05;-2.026498239
B1;B8;D06;2.03517435
B1;B8;D07;-2.023696588
B1;B8;D08;2.037016742
B1;B8;D09;-2.030873613
B1;B8;D10;2.05102263
B1;B8;D11;-2.049878355
B1;B8;D12;2.077702918
B1;B8a;D01;-0.274497881
B1;B8a;D02;0.259661467
B1;B8a;D03;-0.271188081
B1;B8a;D04;0.256112663
B1;B8a;D05;-0.268203554
B1;B8a;D06;0.255031296
B1;B8a;D07;-0.26885719
B1;B8a;D08;0.255161626
B1;B8a;D09;-0.270345086
B1;B8a;D10;0.256516816
B1;B8a;D11;-0.271928687
B1;B8a;D12;0.260784875
B1;B9;D01;0.26659262
B1;B9;D02;-0.273517453
B1;B9;D03;0.262743331
B1;B9;D04;-0.270309249
B1;B9;D05;0.261226373
B1;B9;D06;-0.2697005
B1;B9;D07;0.260534659
B1;B9;D08;-0.268680634
B1;B9;D09;0.262930005
B1;B9;D10;-0.271602176
B1;B9;D11;0.264534062
B1;B9;D12;-0.274082839
B1;B10;D01;-1.453728313
B1;B10;D02;1.471102069
B1;B10;D03;-1.43239809
B1;B10;D04;1.454202778
B1;B10;D05;-1.420222615
B1;B10;D06;1.450261788
B1;B10;D07;-1.419911748
B1;B10;D08;1.453184584
B1;B10;D09;-1.420837074
B1;B10;D10;1.463043429
B1;B10;D11;-1.437012434
B1;B10;D12;1.487029036
B1;B11;D01;-0.828665879
B1;B11;D02;0.839657895
B1;B11;D03;-0.816486499
B1;B11;D04;0.829283039
B1;B11;D05;-0.808608594
B1;B11;D06;0.829298566
B1;B11;D07;-0.809176487
